player_name,date,player_hard_elo
Adrian Mannarino,2018-01-15,1751.2595709341772
Adrian Mannarino,2018-01-15,1735.6728972635797
Adrian Mannarino,2018-02-02,1723.8636570089436
Adrian Mannarino,2018-02-02,1710.4883132558275
Adrian Mannarino,2018-02-05,1707.566953546865
Adrian Mannarino,2018-02-12,1722.9726034712105
Adrian Mannarino,2018-02-12,1713.8322717818937
Adrian Mannarino,2018-02-26,1727.1774053339295
Adrian Mannarino,2018-02-26,1713.9892647709112
Adrian Mannarino,2018-03-05,1720.5421852543227
Adrian Mannarino,2018-03-05,1700.9657368193687
Adrian Mannarino,2018-03-19,1682.4662986801177
Adrian Mannarino,2018-07-30,1689.39809049036
Adrian Mannarino,2018-07-30,1668.1285393596143
Adrian Mannarino,2018-08-06,1652.8333951609811
Adrian Mannarino,2018-08-13,1659.960160137775
Adrian Mannarino,2018-08-13,1657.625607846704
Adrian Mannarino,2018-08-27,1641.9683558234674
Adrian Mannarino,2018-09-17,1623.8751408093433
Adrian Mannarino,2018-09-24,1607.0009663831495
Adrian Mannarino,2018-10-01,1601.4380821041411
Adrian Mannarino,2018-10-08,1587.4356020380444
Adrian Mannarino,2018-10-15,1599.4919484329434
Adrian Mannarino,2018-10-15,1637.903925696121
Adrian Mannarino,2018-10-22,1621.474490007674
Adrian Mannarino,2018-10-29,1632.8617695252292
Adrian Mannarino,2018-10-29,1627.7567050325222
Adrian Mannarino,2018-12-31,1611.7458244395852
Adrian Mannarino,2019-01-07,1590.8061255272546
Adrian Mannarino,2019-01-14,1586.5324719754167
Adrian Mannarino,2019-02-04,1566.6459401861462
Adrian Mannarino,2019-02-11,1552.859157622998
Adrian Mannarino,2019-02-18,1558.878154546158
Adrian Mannarino,2019-02-18,1542.8690372319695
Adrian Mannarino,2019-02-25,1563.673075756248
Adrian Mannarino,2019-03-04,1577.3505619497657
Adrian Mannarino,2019-03-04,1559.7599845660222
Adrian Mannarino,2019-03-18,1587.1010637365082
Adrian Mannarino,2019-03-18,1572.9867149692097
Adrian Mannarino,2019-07-29,1581.489774600221
Adrian Mannarino,2019-07-29,1565.1058606655306
Adrian Mannarino,2019-08-05,1616.5829597449583
Adrian Mannarino,2019-08-05,1571.692994762285
Adrian Mannarino,2019-08-12,1625.0990028193858
Adrian Mannarino,2019-08-12,1607.3215741658446
Adrian Mannarino,2019-08-26,1620.6249876708719
Adrian Mannarino,2019-09-16,1617.179217465909
Adrian Mannarino,2019-09-16,1606.0553841919873
Adrian Mannarino,2019-09-23,1622.3623870115075
Adrian Mannarino,2019-09-23,1607.868396854609
Adrian Mannarino,2019-09-30,1650.2360227549186
Adrian Mannarino,2019-10-14,1685.014317194915
Adrian Mannarino,2019-10-14,1640.1492950602385
Adrian Mannarino,2019-10-21,1680.3887545869225
Adrian Mannarino,2019-10-28,1684.6809547234504
Adrian Mannarino,2019-10-28,1677.47193453702
Adrian Mannarino,2020-01-06,1663.3075301721608
Adrian Mannarino,2020-01-13,1647.5664239748621
Adrian Mannarino,2020-01-20,1640.171357224936
Adrian Mannarino,2020-02-03,1644.5621932312533
Adrian Mannarino,2020-02-03,1631.8230259044692
Adrian Mannarino,2020-02-10,1633.7602805542847
Adrian Mannarino,2020-02-17,1614.9733386530036
Adrian Mannarino,2020-02-24,1620.75783980282
Adrian Mannarino,2020-02-24,1605.945693220289
Adrian Mannarino,2020-08-24,1606.9641628119077
Adrian Mannarino,2020-08-31,1631.7648143490935
Adrian Mannarino,2020-08-31,1625.1800398342325
Adrian Mannarino,2020-10-12,1605.432899115534
Adrian Mannarino,2020-10-19,1632.5584304527956
Adrian Mannarino,2020-10-19,1601.0174189402794
Adrian Mannarino,2020-10-26,1653.0679362539386
Adrian Mannarino,2020-10-26,1618.161418585635
Adrian Mannarino,2020-11-02,1668.4747263281956
Adrian Mannarino,2020-11-02,1648.1778598509613
Adrian Mannarino,2020-11-09,1677.6592808226033
Adrian Mannarino,2020-11-09,1664.4821225808992
Adrian Mannarino,2021-01-04,1669.0810493855242
Adrian Mannarino,2021-02-01,1668.4360618712963
Adrian Mannarino,2021-02-01,1652.5114162998575
Adrian Mannarino,2021-02-08,1679.5075056748576
Adrian Mannarino,2021-02-08,1676.2816105886113
Adrian Mannarino,2021-02-22,1663.065267674475
Adrian Mannarino,2021-02-22,1642.9348122708307
Adrian Mannarino,2021-03-01,1685.811312027772
Adrian Mannarino,2021-03-15,1646.8515418178533
Adrian Mannarino,2021-03-22,1721.9322788758577
Adrian Mannarino,2021-03-22,1707.2929971237554
Adrian Mannarino,2021-08-30,1665.2759411916425
Adrian Mannarino,2021-08-30,1658.1302591014285
Adrian Mannarino,2021-09-27,1652.8038817115398
Adrian Mannarino,2021-10-04,1696.158908885712
Adrian Mannarino,2021-10-18,1677.6956242957624
Adrian Mannarino,2021-10-18,1683.3975937804805
Adrian Mannarino,2021-10-25,1656.7554778799577
Adrian Mannarino,2021-11-01,1719.3594037777978
Adrian Mannarino,2021-11-01,1708.4297063671083
Adrian Mannarino,2021-11-08,1668.9597044822383
Adrian Mannarino,2021-11-25,1655.1862913083203
Adrian Mannarino,2021-11-27,1643.5057994914614
Adrian Mannarino,2022-01-03,1627.9493857199698
Adrian Mannarino,2022-01-10,1610.9712865993235
Adrian Mannarino,2022-01-17,1648.1355795648508
Adrian Mannarino,2022-01-17,1667.6482311699979
Adrian Mannarino,2022-01-31,1690.5287682077028
Adrian Mannarino,2022-01-31,1663.0645622617667
Adrian Mannarino,2022-02-07,1696.954020310106
Adrian Mannarino,2022-02-07,1675.5220280055505
Adrian Mannarino,2022-02-14,1707.0609679008357
Adrian Mannarino,2022-02-14,1682.3481356751126
Adrian Mannarino,2022-02-21,1693.5940307102385
Adrian Mannarino,2022-03-04,1665.1288757131451
Adrian Mannarino,2022-03-07,1674.392163853329
Adrian Mannarino,2022-03-21,1664.9281176727686
Adrian Mannarino,2022-07-25,1663.8703776643713
Adrian Mannarino,2022-07-25,1654.5527302662406
Adrian Mannarino,2022-08-01,1669.9286879682104
Adrian Mannarino,2022-08-01,1661.921510414888
Adrian Mannarino,2022-08-08,1676.8703731077774
Adrian Mannarino,2022-08-08,1662.4007991940773
Adrian Mannarino,2022-08-22,1719.3786873274707
Adrian Mannarino,2022-08-29,1716.2669411530087
Adrian Mannarino,2022-09-14,1655.2507236459762
Adrian Mannarino,2022-09-19,1697.8005857114413
Adrian Mannarino,2022-09-26,1675.1585401946857
Adrian Mannarino,2022-10-03,1695.8054560227358
Adrian Mannarino,2022-10-03,1667.0256220110778
Adrian Mannarino,2022-10-17,1672.1220260633452
Adrian Mannarino,2022-10-24,1654.785779227086
Adrian Mannarino,2022-10-31,1645.1115342520793
Adrian Mannarino,2023-01-02,1652.3940237077434
Adrian Mannarino,2023-01-02,1643.2046466165389
Adrian Mannarino,2023-01-09,1634.6794061573294
Adrian Mannarino,2023-01-16,1652.5033435693583
Adrian Mannarino,2023-01-16,1644.5362569017732
Adrian Mannarino,2023-02-03,1770.9194325507087
Adrian Mannarino,2023-02-06,1638.0755646633822
Adrian Mannarino,2023-02-06,1624.544237330321
Adrian Mannarino,2023-02-13,1662.174236350095
Adrian Mannarino,2023-02-13,1644.5511268610903
Adrian Mannarino,2023-02-27,1647.4631651932577
Adrian Mannarino,2023-03-06,1681.1165725268
Adrian Mannarino,2023-03-06,1640.6670369753833
Adrian Mannarino,2023-03-20,1690.249158019342
Adrian Mannarino,2023-03-20,1655.4072669603513
Adrian Mannarino,2023-07-31,1676.0953654237012
Adrian Mannarino,2023-08-07,1656.9392694937017
Adrian Mannarino,2023-08-14,1689.6072325344858
Adrian Mannarino,2023-08-14,1647.1833672972662
Adrian Mannarino,2023-08-28,1722.604687317648
Adrian Mannarino,2023-08-28,1709.598468849604
Adrian Mannarino,2023-09-12,1760.4584030207452
Adrian Mannarino,2023-09-14,1751.8106239072542
Adrian Mannarino,2023-09-25,1756.7802510546974
Adrian Mannarino,2023-10-02,1750.578614115851
Adrian Mannarino,2023-10-02,1745.8139126664505
Adrian Mannarino,2023-10-16,1747.8669743722282
Adrian Mannarino,2023-10-16,1736.6565351908307
Adrian Mannarino,2023-10-23,1724.6837211621737
Adrian Mannarino,2023-10-30,1706.6229384787428
Adrian Mannarino,2023-11-06,1740.010556727171
Adrian Mannarino,2024-01-01,1751.1680432759285
Adrian Mannarino,2024-01-01,1738.4689969196543
Adrian Mannarino,2024-01-15,1772.685035824817
Adrian Mannarino,2024-01-15,1769.8804864107803
Adrian Mannarino,2024-02-03,1609.7564293598211
Adrian Mannarino,2024-02-05,1765.1885464972788
Adrian Mannarino,2024-02-05,1746.5622641148536
Adrian Mannarino,2024-02-12,1744.525469680586
Adrian Mannarino,2024-02-26,1723.6402901885947
Adrian Mannarino,2024-03-04,1727.1818898270662
Adrian Mannarino,2024-03-04,1714.937177849825
Adrian Mannarino,2024-03-18,1701.3292321086242
Adrian Mannarino,2024-07-22,1676.163784872537
Adrian Mannarino,2024-07-29,1657.0382038010132
Adrian Mannarino,2024-08-05,1639.2664289516927
Adrian Mannarino,2024-08-12,1620.9682778357176
Adrian Mannarino,2024-08-19,1598.6723326429
Adrian Mannarino,2024-08-26,1617.3863021094458
Adrian Mannarino,2024-08-26,1601.228078670513
Adrian Mannarino,2024-09-18,1597.2763769567694
Adrian Mannarino,2024-09-18,1585.9691015790372
Adrian Mannarino,2024-09-26,1621.589379978283
Adrian Mannarino,2024-09-26,1603.284902451942
Adrian Mannarino,2024-10-02,1598.3026270302914
Adrian Mannarino,2024-10-14,1600.742333289859
Adrian Mannarino,2024-10-14,1580.6611211402926
Adrian Mannarino,2024-10-21,1586.6330703549768
Adrian Mannarino,2024-10-28,1589.5160300306686
Adrian Mannarino,2024-10-28,1577.0732158239466
Adrian Mannarino,2024-11-04,1597.4087284480424
Adrian Menendez Maceiras,2013-01-14,1489.099437256601
Adrian Menendez Maceiras,2013-02-04,1476.486518131276
Adrian Menendez Maceiras,2015-03-25,1464.916996931141
Adrian Menendez Maceiras,2015-07-20,1483.38509674855
Adrian Menendez Maceiras,2015-07-20,1479.0147639443585
Adrian Menendez Maceiras,2017-08-28,1495.9799962758675
Adrian Menendez Maceiras,2017-08-28,1493.923745413758
